customer_city,avg_products
sertaozinho,1.19
"rio claro",1.19
"balneario camboriu",1.19
timoteo,1.19
maringa,1.19
americana,1.19
goiania,1.19
"simoes filho",1.19
"luis eduardo magalhaes",1.19
marialva,1.19
carangola,1.19
castanhal,1.19
paulista,1.19
jandira,1.19
mafra,1.19
vicosa,1.19
guaiba,1.19
"santana do paraiso",1.19
andradina,1.19
"santa barbara",1.19
ipatinga,1.18
tucurui,1.18
"sao jose",1.18
"santa maria",1.18
paranapanema,1.18
balsas,1.18
bebedouro,1.18
limeira,1.18
ouroeste,1.18
mococa,1.18
"joao pessoa",1.18
taquari,1.18
linhares,1.18
"capao da canoa",1.18
"santa gertrudes",1.18
sombrio,1.18
camboriu,1.18
"ponte nova",1.18
valinhos,1.18
"porto feliz",1.18
indaiatuba,1.18
carandai,1.18
itapipoca,1.18
poa,1.18
igrejinha,1.18
"nova odessa",1.18
"sao lourenco",1.18
garca,1.18
"laranjal paulista",1.18
itapolis,1.18
cambui,1.18
"capao bonito",1.18
alvinopolis,1.18
petropolis,1.18
januaria,1.18
pompeu,1.18
coxim,1.18
leopoldina,1.18
arapiraca,1.17
osorio,1.17
itariri,1.17
pombal,1.17
"sao carlos",1.17
florianopolis,1.17
"porto alegre",1.17
atibaia,1.17
"quatro barras",1.17
mendes,1.17
fronteira,1.17
jundiai,1.17
seabra,1.17
reboucas,1.17
"santo amaro da imperatriz",1.17
"caldas novas",1.17
"sao jose da barra",1.17
"sao pedro",1.17
camacan,1.17
medina,1.17
"pilar do sul",1.17
teixeiras,1.17
jacunda,1.17
"nova prata do iguacu",1.17
piritiba,1.17
guaruja,1.17
"itapejara d'oeste",1.17
"mundo novo",1.17
seara,1.17
"nova santa rita",1.17
"sao joao de meriti",1.17
"rio novo do sul",1.17
"santana de parnaiba",1.17
iacanga,1.17
"raul soares",1.17
"catole do rocha",1.17
mallet,1.17
uruara,1.17
"cachoeira alta",1.17
videira,1.17
"cerqueira cesar",1.17
ituverava,1.17
"agua boa",1.17
itaobim,1.17
mangaratiba,1.17
resende,1.17
"santo antonio da platina",1.17
jeceaba,1.17
araraquara,1.17
"sao joao da boa vista",1.17
"santa isabel do para",1.17
"campo bom",1.17
tupa,1.17
"sao roque",1.17
"sao jose do calcado",1.17
"rio pomba",1.17
"engenheiro paulo de frontin",1.17
"assis chateaubriand",1.17
pacajus,1.17
"vitoria da conquista",1.17
sapucaia,1.17
"flores da cunha",1.17
pontal,1.17
"tres de maio",1.17
"fernando prestes",1.17
pirapora,1.17
"pirai do sul",1.17
congonhas,1.17
cerquilho,1.17
andradas,1.17
"monte alegre do sul",1.17
aracatuba,1.17
"terra roxa",1.17
cachoeirinha,1.17
vilhena,1.17
"costa rica",1.17
"santa rita de caldas",1.17
"sao paulo",1.16
"sao jose do rio pardo",1.16
curitiba,1.16
campinas,1.16
"rio das ostras",1.16
muriae,1.16
viamao,1.16
santos,1.16
cajamar,1.16
cacapava,1.16
niteroi,1.16
mairinque,1.16
"ouro preto",1.16
"campo largo",1.16
votorantim,1.16
araruama,1.16
curvelo,1.16
mogi-guacu,1.16
dourados,1.16
diadema,1.16
"mogi das cruzes",1.16
carapicuiba,1.16
guararapes,1.16
"joao monlevade",1.16
itapeva,1.16
navegantes,1.16
ibiuna,1.16
osasco,1.15
"rio de janeiro",1.15
"paulo afonso",1.15
itaperuna,1.15
cafelandia,1.15
viana,1.15
"ribeirao preto",1.15
"nova iguacu",1.15
barretos,1.15
macae,1.15
quissama,1.15
macapa,1.15
itapevi,1.15
"laranjeiras do sul",1.15
carmo,1.15
"juazeiro do norte",1.15
loanda,1.15
jau,1.15
itajuba,1.15
mirandopolis,1.15
"duque de caxias",1.15
"cabo frio",1.15
"ponta grossa",1.15
uruguaiana,1.15
"bento goncalves",1.15
"santa maria da vitoria",1.15
frutal,1.15
formosa,1.15
cosmopolis,1.15
caratinga,1.15
"nova serrana",1.14
"belo horizonte",1.14
"chapadao do sul",1.14
"campo grande",1.14
piracaia,1.14
pitangui,1.14
"sao jose dos campos",1.14
cunha,1.14
lages,1.14
salvador,1.14
lavras,1.14
"lagoa formosa",1.14
alegrete,1.14
lajeado,1.14
"varzea grande",1.14
"aguas de lindoia",1.14
"sao jose do rio preto",1.14
cruz,1.14
niquelandia,1.14
"ferraz de vasconcelos",1.14
sousa,1.14
"sao bento do sapucai",1.14
medianeira,1.14
marau,1.14
vespasiano,1.14
"santa luzia",1.14
"sao bernardo do campo",1.14
rodeio,1.14
tocantinopolis,1.14
"porto real",1.14
"valparaiso de goias",1.14
itabirito,1.14
ubatuba,1.14
"campo maior",1.14
"santa isabel",1.14
"santa barbara d'oeste",1.14
acopiara,1.14
boituva,1.14
"balneario pinhal",1.14
quirinopolis,1.14
"passo fundo",1.14
